epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
108,7195.64,0.6295,0.4176,0.89195,0.93308,0.80808,0.89816,0.73541,0.69224,0.46463,0.89961,0.0187148,0.00623828,0.0187148,0.00623828,0.0187148,0.00623828,0.0187148,0.00623828
109,7262.17,0.62376,0.41336,0.88953,0.88628,0.82849,0.89087,0.72799,0.702,0.4691,0.90758,0.0186094,0.00620313,0.0186094,0.00620313,0.0186094,0.00620313,0.0186094,0.00620313
110,7327.84,0.62958,0.41508,0.89006,0.91944,0.81869,0.89914,0.73178,0.7156,0.45928,0.91289,0.0185039,0.00616797,0.0185039,0.00616797,0.0185039,0.00616797,0.0185039,0.00616797
111,7393.11,0.62201,0.41169,0.88867,0.9368,0.81023,0.89699,0.73289,0.69901,0.4525,0.90084,0.0183984,0.00613281,0.0183984,0.00613281,0.0183984,0.00613281,0.0183984,0.00613281
112,7458.8,0.62656,0.41257,0.89172,0.92435,0.81985,0.8981,0.73633,0.67713,0.44532,0.8972,0.018293,0.00609766,0.018293,0.00609766,0.018293,0.00609766,0.018293,0.00609766
113,7523.71,0.61534,0.40649,0.88643,0.92069,0.82238,0.89984,0.73112,0.70128,0.45577,0.90605,0.0181875,0.0060625,0.0181875,0.0060625,0.0181875,0.0060625,0.0181875,0.0060625
114,7588.41,0.61711,0.40401,0.88833,0.94807,0.7986,0.88491,0.72369,0.70622,0.47653,0.90957,0.018082,0.00602734,0.018082,0.00602734,0.018082,0.00602734,0.018082,0.00602734
115,7653.72,0.61924,0.4072,0.88909,0.91393,0.82598,0.88451,0.71885,0.71332,0.4647,0.90581,0.0179766,0.00599219,0.0179766,0.00599219,0.0179766,0.00599219,0.0179766,0.00599219
116,7719.51,0.62029,0.40566,0.88699,0.92493,0.81098,0.88965,0.73402,0.70216,0.47088,0.91334,0.0178711,0.00595703,0.0178711,0.00595703,0.0178711,0.00595703,0.0178711,0.00595703
117,7784.81,0.61689,0.40647,0.88853,0.93975,0.80845,0.89592,0.73375,0.69417,0.45662,0.90487,0.0177656,0.00592188,0.0177656,0.00592188,0.0177656,0.00592188,0.0177656,0.00592188
118,7850.01,0.6101,0.40274,0.88552,0.9531,0.79634,0.8868,0.73081,0.69918,0.47837,0.90981,0.0176602,0.00588672,0.0176602,0.00588672,0.0176602,0.00588672,0.0176602,0.00588672
119,7915.4,0.61226,0.4012,0.88671,0.94554,0.80415,0.89007,0.73109,0.67418,0.45167,0.89716,0.0175547,0.00585156,0.0175547,0.00585156,0.0175547,0.00585156,0.0175547,0.00585156
120,7979.93,0.61965,0.40595,0.88993,0.93062,0.80464,0.87851,0.72421,0.68046,0.4745,0.90067,0.0174492,0.00581641,0.0174492,0.00581641,0.0174492,0.00581641,0.0174492,0.00581641
121,8044.32,0.61571,0.40654,0.88789,0.94096,0.78344,0.88184,0.725,0.685,0.49014,0.90135,0.0173437,0.00578125,0.0173437,0.00578125,0.0173437,0.00578125,0.0173437,0.00578125
122,8108.96,0.61132,0.40166,0.886,0.93304,0.81402,0.88762,0.73137,0.68297,0.4505,0.89849,0.0172383,0.00574609,0.0172383,0.00574609,0.0172383,0.00574609,0.0172383,0.00574609
123,8173.18,0.60602,0.39624,0.8862,0.93419,0.82291,0.8942,0.73939,0.67007,0.45449,0.89731,0.0171328,0.00571094,0.0171328,0.00571094,0.0171328,0.00571094,0.0171328,0.00571094
124,8236.89,0.60977,0.3964,0.88426,0.91613,0.82336,0.88986,0.7309,0.67131,0.47005,0.89484,0.0170273,0.00567578,0.0170273,0.00567578,0.0170273,0.00567578,0.0170273,0.00567578
125,8301.36,0.60537,0.3949,0.88269,0.92658,0.81046,0.88237,0.72572,0.67458,0.46973,0.89862,0.0169219,0.00564063,0.0169219,0.00564063,0.0169219,0.00564063,0.0169219,0.00564063
